card_code,orientation,context,tag_code,weight,is_primary
FOOL,UPRIGHT,GENERAL,IMPULSIVITY,1.0,true
FOOL,UPRIGHT,GENERAL,BEGINNING,0.85,false
FOOL,REVERSED,GENERAL,APATHY,1.0,true
FOOL,REVERSED,GENERAL,WASTE,0.85,false
MAGICIAN,UPRIGHT,GENERAL,SKILL,1.0,true
MAGICIAN,UPRIGHT,GENERAL,LEADERSHIP,0.85,false
MAGICIAN,REVERSED,GENERAL,MISUSE,1.0,true
MAGICIAN,REVERSED,GENERAL,DECEPTION,0.85,false
HIGH_PRIESTESS,UPRIGHT,GENERAL,HIDDEN,1.0,true
HIGH_PRIESTESS,UPRIGHT,GENERAL,INTUITION,0.85,false
HIGH_PRIESTESS,REVERSED,GENERAL,SUPERFICIALITY,1.0,true
HIGH_PRIESTESS,REVERSED,GENERAL,IMPULSIVITY,0.85,false
EMPRESS,UPRIGHT,GENERAL,ABUNDANCE,1.0,true
EMPRESS,UPRIGHT,GENERAL,NURTURE,0.85,false
EMPRESS,REVERSED,GENERAL,CLARITY,1.0,true
EMPRESS,REVERSED,GENERAL,INDECISION,0.85,false
EMPEROR,UPRIGHT,GENERAL,AUTHORITY,1.0,true
EMPEROR,UPRIGHT,GENERAL,SECURITY,0.85,false
EMPEROR,REVERSED,GENERAL,RIGIDITY,1.0,true
EMPEROR,REVERSED,GENERAL,SETBACK,0.85,false
HIEROPHANT,UPRIGHT,GENERAL,FORMALIZATION,1.0,true
HIEROPHANT,UPRIGHT,GENERAL,RELATIONSHIP,0.85,false
HIEROPHANT,REVERSED,GENERAL,CONFORMITY,1.0,true
HIEROPHANT,REVERSED,GENERAL,DISHARMONY,0.85,false
LOVERS,UPRIGHT,GENERAL,RELATIONSHIP,1.0,true
LOVERS,UPRIGHT,GENERAL,VICTORY,0.85,false
LOVERS,REVERSED,GENERAL,DISHARMONY,1.0,true
LOVERS,REVERSED,GENERAL,SETBACK,0.85,false
CHARIOT,UPRIGHT,GENERAL,VICTORY,1.0,true
CHARIOT,UPRIGHT,GENERAL,MOVEMENT,0.85,false
CHARIOT,REVERSED,GENERAL,DEFEAT,1.0,true
CHARIOT,REVERSED,GENERAL,CONFLICT,0.85,false
STRENGTH,UPRIGHT,GENERAL,COURAGE,1.0,true
STRENGTH,UPRIGHT,GENERAL,SUCCESS,0.85,false
STRENGTH,REVERSED,GENERAL,MISUSE,1.0,true
STRENGTH,REVERSED,GENERAL,DISHARMONY,0.85,false
HERMIT,UPRIGHT,GENERAL,PRUDENCE,1.0,true
HERMIT,UPRIGHT,GENERAL,VIGILANCE,0.85,false
HERMIT,REVERSED,GENERAL,WITHDRAWAL,1.0,true
HERMIT,REVERSED,GENERAL,FEAR,0.85,false
