from_tag_code,to_tag_code,context,relation_type,transition_text,score_delta,priority,source_code,source_locator,origin,review_status,review_method,review_notes,is_active
ENDING,BEGINNING,,REVERSE,기존 국면이 끝난 뒤 새로운 가능성이 열린다,0.4,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
ENDING,MOVEMENT,,ACCELERATE,끝나던 국면 뒤로 상황이 빠르게 움직이기 시작한다,0.4,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
ENDING,RECOVERY,,RESOLVE,끝과 손실을 인정한 뒤 회복 단계가 시작된다,0.5,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
ENDING,FORMALIZATION,,FORMALIZE,마무리된 일이 공식 절차와 새 구조로 정리된다,0.2,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
LOSS,RECOVERY,,RESOLVE,손실 이후 남은 자원을 바탕으로 회복한다,0.5,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
LOSS,HOPE,,RESOLVE,상실을 지나 다시 기대할 방향을 찾는다,0.5,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
LOSS,MATERIAL_OPPORTUNITY,,IMPROVE,손실 뒤 현실적인 보완 기회가 들어온다,0.4,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
DISRUPTION,HOPE,,RESOLVE,큰 흔들림 이후 회복 방향과 희망이 나타난다,0.6,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
DISRUPTION,RECOVERY,,RESOLVE,무너진 구조를 정리한 뒤 회복이 시작된다,0.5,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
DISRUPTION,SECURITY,,RESOLVE,불안정한 상황이 다시 안전한 기반을 찾는다,0.4,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
RESTRICTION,MOVEMENT,,RELEASE,제약이 풀리며 멈췄던 일이 움직인다,0.4,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
RESTRICTION,PAUSE,,SLOW_DOWN,제약을 밀어붙이기보다 멈춰 조건을 다시 본다,-0.1,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
RESTRICTION,BREAKTHROUGH,,REVERSE,막힌 조건을 강한 결단으로 돌파하려 한다,0.2,100,,Editorial relation grammar v1,DESIGNED,APPROVED,EDITORIAL_RULE_REVIEW_V1,Reusable semantic transition; not attributed to Waite or Golden Dawn.,true
