code,name_ko,description
ABUNDANCE,풍요,생산성·보살핌·물질적 또는 정서적 풍요
ABUSE,권력 남용,힘이나 권한이 해로운 방식으로 사용됨
ADAPTATION,적응,여러 조건을 조율하며 균형을 유지함
ANXIETY,불안,걱정·두려움·심리적 압박
APATHY,무관심,권태·싫증·기회에 대한 반응 저하
ASSESSMENT,평가,기다리며 투자·노력·성과를 재평가함
ATTACHMENT,속박,욕망·물질·관계에 대한 강한 집착
AUTHORITY,권위,규칙·판단·지도력·공식 권한
AWAKENING,갱신,판단·재평가·새로운 국면으로의 갱신
BALANCE,균형,조화·절제·공정한 균형
BEGINNING,시작,새로운 가능성·출발·첫 동력
BIAS,편향,불공정·과도한 엄격함·한쪽으로 치우친 판단
BREAKTHROUGH,돌파,강한 결단·승부·문제의 절단
BURDEN,부담,책임·성과·업무가 과도하게 쌓임
CELEBRATION,축하,완료·화합·기쁨을 함께 나눔
CLARITY,명료함,숨겨진 것이 드러나고 이해가 선명해짐
COMPLETION,완성,한 주기의 성취·보상·마무리
COMPULSION,강박,강한 힘·충동·피하기 어려운 압력
CONFLICT,갈등,경쟁·논쟁·마찰·대립
CONFORMITY,순응,집단·관행에 맞추며 개인 기준이 약해짐
CONTROL,통제,소유·권력·상황을 붙잡으려는 힘
CORRUPTION,부패,능력이나 자원이 왜곡되고 해로운 방향으로 사용됨
COURAGE,용기,힘·인내·담대함으로 어려움을 다룸
CREATION,창조,새로운 아이디어·사업·생명의 시작
DECEPTION,기만,거짓·숨김·교묘한 조작
DEFEAT,패배,손실·불명예·승부에서의 후퇴
DEFENCE,방어,입장·성과·영역을 지키며 버팀
DELAY,지연,대기·방해·일정 지연
DEPARTURE,떠남,이동·이탈·기존 관심사에서 벗어남
DETERMINATION,결의,희망을 실행 가능한 의지와 계획으로 좁힘
DIMINISHED_JOY,약화된 기쁨,긍정적 흐름은 남지만 강도가 줄어듦
DISCLOSURE,공개,고백·선언·정보가 밖으로 드러남
DISHARMONY,불화,관계·이해관계·가치의 충돌
DISRUPTION,붕괴,예상 밖의 충격·구조적 파괴
DOUBT,의심,불신·불확실성·확신 부족
EMOTION,감정,정서·공감·마음의 흐름
ENDING,종료,한 국면의 끝·정리·소멸
EXCESS,과잉,좋은 것이라도 지나쳐 부담이 됨
EXPANSION,확장,사업·교역·시야·협력의 확장
FAMILY,가정,가족·공동체·정서적 안정
FANTASY,환상,상상·가능성은 많지만 실체가 약함
FEAR,두려움,위험에 대한 경계가 행동을 위축시킴
FORMALIZATION,공식화,관계나 계획이 계약·제도·절차로 정리됨
FORTUNE,운의 전환,예측하기 어려운 외부 변화와 기회
GENEROSITY,나눔,자원·기회·도움을 주고받음
GREED,탐욕,소유욕·질투·과도한 욕망
HEALING,치유,회복·위안·상처의 완화
HEARTBREAK,상심,분리·이별·단절로 인한 직접적 상처
HIDDEN,숨겨짐,비밀·침묵·아직 드러나지 않은 정보
HOPE,희망,회복 가능성·밝은 전망·방향성
ILLUSION,환영,착각·불분명함·왜곡된 인식
IMPERFECTION,불완전,성과는 있으나 결함·실수·미완성이 남음
IMPULSIVITY,충동,계획보다 즉흥성과 과감함이 앞섬
INDECISION,결정 지연,상충하는 선택지 사이에서 결정을 미룸
INDEPENDENCE,자립,스스로 구축한 안정·성과·분별
INTUITION,직관,감수성·통찰·내면의 이해
JOY,기쁨,만족·행복·밝은 성취
JUSTICE,공정,균형 잡힌 판단·책임·정당한 결과
LEADERSHIP,지도력,정직한 지휘·비전·책임 있는 영향력
LEARNING,학습,연구·기술 습득·준비 단계
LEGACY,유산,가족·재산·장기적 기반과 전승
LOSS,손실,상실·실망·남은 것에 대한 재평가
MASTERY,숙련,현실적 능력·사업 감각·전문성
MATERIAL_OPPORTUNITY,물질적 기회,돈·자원·현실적 기반의 새로운 기회
MEDIOCRITY,미숙함,기술·성과·기준이 기대에 미치지 못함
MEMORY,회상,과거·추억·익숙한 관계의 영향
MESSAGE,소식,연락·제안·정보의 전달
MISUSE,오용,능력·힘·기술이 잘못된 방향으로 쓰임
MOVEMENT,진행,빠른 이동·실행·사건의 전개
NURTURE,돌봄,따뜻함·매력·성장을 돕는 힘
OFFER,제안,접근·초대·감정 또는 기회의 제안
OVERINDULGENCE,과도한 향락,즐거움·감각적 만족이 지나침
PAUSE,정지,통찰·희생·관점 전환을 위한 멈춤
PLANNING,계획,영역·가능성·다음 수를 내다봄
POVERTY,궁핍,물질적 어려움·소외·지원 부족
PRETENCE,가식,겉으로만 즐겁거나 안정된 모습을 유지함
PRUDENCE,신중,관찰·절약·현명한 관리
RECOVERY,회복,어려움 이후 다시 살아나는 흐름
RELATIONSHIP,관계,사랑·우정·협력·상호 연결
RENEWAL,새로움,미래·재생·새로운 관계나 환경
RESPONSIBILITY,책임,성실·실용성·맡은 일을 꾸준히 수행함
REST,휴식,활동을 멈추고 힘을 회복하거나 거리를 둠
RESTRICTION,제약,현실적·심리적 제한과 억압
RETURN,귀환,사람·소식·과거의 문제가 다시 돌아옴
RIGIDITY,경직,통제·규칙·태도가 지나치게 굳어짐
SACRIFICE,희생,기다림·관점 전환·대가를 감수함
SATISFACTION,만족,충족·편안함·원하는 결과의 향유
SECURITY,안정,소유·보호·확실한 물질적 기반
SELF_INTEREST,이기심,공동 목적보다 개인 이익을 앞세움
SETBACK,후퇴,장애·실패·진행의 약화
SKILL,기술,의지·능숙함·수단을 활용하는 힘
STAGNATION,정체,움직임 없는 상태·무기력·고착
STRATEGY,전략,계획·기지·간접적인 접근
SUCCESS,성과,승리·인정·목표 달성
SUPERFICIALITY,피상성,깊은 이해 없이 겉모습과 자만에 머묾
TRANSITION,전환,한 상태에서 다른 상태로 이동함
UNCERTAINTY,불확실,놀람·혼란·결과를 예측하기 어려움
UNPREPARED,준비 부족,예상하지 못한 상황과 대비 부족
VICTORY,승리,추진력·성공·경쟁에서 앞섬
VIGILANCE,경계,관찰·조사·정보 수집·감시
WASTE,낭비,자원·돈·능력을 계획 없이 소비함
WITHDRAWAL,위축,두려움과 지나친 조심성으로 숨거나 물러남
WORK,작업,숙련·노동·반복을 통한 성취
