card_code,source_code,orientation,context,meaning_text,advice_text,warning_text,polarity,action_level,speed_level,stability_level,ending_level,origin,source_locator,page_start,page_end,priority,review_status,review_method,review_notes,is_active
FOOL,WAITE_PKD_1910,UPRIGHT,GENERAL,분별보다 충동과 과장이 앞서 어디로 튈지 예측하기 어려운 출발,행동 전에 최소한의 손실 한도와 되돌릴 방법을 정하세요.,흥분 상태에서 장기 약속을 확정하지 마세요.,-1,5,5,0,0,DERIVED,Part III §3 — Zero. The Fool,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
FOOL,WAITE_PKD_1910,REVERSED,GENERAL,주의와 책임감이 약해져 기회를 흘려보내거나 무기력해지는 상태,놓치고 있는 선택지가 있는지 한 번 더 살펴보세요.,,-2,0,0,1,0,DERIVED,Part III §3 — Zero. The Fool,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
MAGICIAN,WAITE_PKD_1910,UPRIGHT,GENERAL,기술·외교력·의지와 자신감을 활용해 상황을 능숙하게 다루는 힘,보유한 자원과 기술을 하나의 분명한 목표에 집중하세요.,,4,4,3,4,0,DERIVED,Part III §3 — 1. The Magician,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
MAGICIAN,WAITE_PKD_1910,REVERSED,GENERAL,능력이나 영향력이 불안·기만·불명예를 만드는 방향으로 잘못 쓰이는 상태,수단이 목적을 해치지 않는지 다시 점검하세요.,,-3,3,3,0,1,DERIVED,Part III §3 — 1. The Magician,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
HIGH_PRIESTESS,WAITE_PKD_1910,UPRIGHT,GENERAL,아직 드러나지 않은 비밀과 미래를 침묵·인내·지혜로 관찰하는 상태,판단 전에 드러나지 않은 정보가 무엇인지 확인하세요.,,0,1,1,2,0,DERIVED,Part III §3 — 2. The High Priestess,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
HIGH_PRIESTESS,WAITE_PKD_1910,REVERSED,GENERAL,강한 열정이나 자만 때문에 깊은 지혜보다 겉핥기식 이해에 머무는 상태,아는 척하기보다 모르는 부분을 확인하고 더 깊이 조사하세요.,,-2,2,2,1,0,DERIVED,Part III §3 — 2. The High Priestess,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
EMPRESS,WAITE_PKD_1910,UPRIGHT,GENERAL,풍요·생산성·주도성이 살아나며 새로운 것을 길러내는 단계,이미 가진 자원과 성장 조건을 구체적으로 활용하세요.,,4,3,2,4,0,DERIVED,Part III §3 — 3. The Empress,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
EMPRESS,WAITE_PKD_1910,REVERSED,GENERAL,얽힌 사실이 드러나지만 결정을 번복하거나 방향을 망설일 수 있는 단계,새롭게 드러난 사실을 기준으로 계획을 다시 정리하세요.,,3,3,3,3,1,DERIVED,Part III §3 — 3. The Empress,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
EMPEROR,WAITE_PKD_1910,UPRIGHT,GENERAL,안정·보호·이성·의지로 현실을 조직하고 책임 있게 권한을 행사하는 상태,권한의 근거와 책임 범위를 문서로 확인하세요.,,2,3,2,4,0,DERIVED,Part III §3 — 4. The Emperor,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
EMPEROR,WAITE_PKD_1910,REVERSED,GENERAL,권한과 구조가 미성숙하거나 경직되어 오히려 진행을 막는 상태,원칙을 지키면서도 수정 가능한 부분을 찾으세요.,,-2,1,0,3,0,DERIVED,Part III §3 — 4. The Emperor,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
HIEROPHANT,WAITE_PKD_1910,UPRIGHT,GENERAL,관계나 약속이 동맹·결혼·조언·제도 같은 공식 구조로 묶이는 단계,구두 약속을 역할·기한·조건이 적힌 문서로 바꾸세요.,,2,2,2,5,1,DERIVED,Part III §3 — 5. The Hierophant,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
HIEROPHANT,WAITE_PKD_1910,REVERSED,GENERAL,집단의 조화와 호의를 지나치게 우선해 자기 기준과 힘이 약해지는 상태,따라야 할 원칙과 바꿀 수 있는 관행을 구분하세요.,,-1,1,1,3,0,DERIVED,Part III §3 — 5. The Hierophant,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
LOVERS,WAITE_PKD_1910,UPRIGHT,GENERAL,매력과 사랑이 상호 결합으로 이어지고 어려움을 함께 넘어서는 관계,서로 기대하는 바와 실제 약속을 직접 확인하세요.,,4,3,2,4,0,DERIVED,Part III §3 — 6. The Lovers,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
LOVERS,WAITE_PKD_1910,REVERSED,GENERAL,어리석은 계획과 엇갈린 가치 때문에 결합이나 약속이 좌절되는 흐름,합의되지 않은 기대와 역할을 말로 확인하세요.,,-3,3,2,1,1,DERIVED,Part III §3 — 6. The Lovers,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
CHARIOT,WAITE_PKD_1910,UPRIGHT,GENERAL,도움과 강한 추진력으로 갈등을 뚫고 승리를 향해 나아가는 흐름,승리 이후 책임과 유지 계획까지 준비하세요.,,4,5,4,3,1,DERIVED,Part III §3 — 7. The Chariot,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
CHARIOT,WAITE_PKD_1910,REVERSED,GENERAL,다툼·분쟁·과도한 자신감이 패배나 법적 충돌로 번지는 흐름,손실을 인정하고 더 잃지 않도록 종료 기준을 정하세요.,,-4,1,2,0,3,DERIVED,Part III §3 — 7. The Chariot,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
STRENGTH,WAITE_PKD_1910,UPRIGHT,GENERAL,용기·활력·관대함으로 힘을 통제해 완전한 성과를 이루는 흐름,힘을 과시하기보다 꾸준히 통제해 사용하세요.,,4,4,3,3,0,DERIVED,Part III §3 — 8. Fortitude,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
STRENGTH,WAITE_PKD_1910,REVERSED,GENERAL,힘을 과도하게 사용하거나 통제하지 못해 약함과 불화를 만드는 상태,수단이 목적을 해치지 않는지 다시 점검하세요.,,-3,3,3,0,1,DERIVED,Part III §3 — 8. Fortitude,,,10,APPROVED,SOURCE_PARAPHRASE_EDITORIAL_V1,Waite Part III paraphrase; source wording is historically inconsistent and should not be treated as modern consensus.,true
