card_code,source_code,correspondence_type,value,source_locator,page_start,page_end,priority,review_status,review_method,review_notes,is_active
FOOL,GOLDEN_DAWN_BOOK_T_1912,GD_TITLE,The Spirit of Aether,Liber LXXVIII — Trumps — FOOL,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
FOOL,GOLDEN_DAWN_BOOK_T_1912,HEBREW_LETTER,ALEPH,Liber LXXVIII — Trumps — FOOL,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
FOOL,GOLDEN_DAWN_BOOK_T_1912,TREE_PATH,11 KETHER-CHOKMAH,Liber LXXVIII — Trumps — FOOL,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
FOOL,GOLDEN_DAWN_BOOK_T_1912,ELEMENT,AIR,Liber LXXVIII — Trumps — FOOL,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
MAGICIAN,GOLDEN_DAWN_BOOK_T_1912,GD_TITLE,The Magus of Power,Liber LXXVIII — Trumps — MAGICIAN,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
MAGICIAN,GOLDEN_DAWN_BOOK_T_1912,HEBREW_LETTER,BETH,Liber LXXVIII — Trumps — MAGICIAN,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
MAGICIAN,GOLDEN_DAWN_BOOK_T_1912,TREE_PATH,12 KETHER-BINAH,Liber LXXVIII — Trumps — MAGICIAN,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
MAGICIAN,GOLDEN_DAWN_BOOK_T_1912,PLANET,MERCURY,Liber LXXVIII — Trumps — MAGICIAN,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
MAGICIAN,GOLDEN_DAWN_BOOK_T_1912,ELEMENT,AIR,Liber LXXVIII — Trumps — MAGICIAN,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
HIGH_PRIESTESS,GOLDEN_DAWN_BOOK_T_1912,GD_TITLE,The Priestess of the Silver Star,Liber LXXVIII — Trumps — HIGH_PRIESTESS,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
HIGH_PRIESTESS,GOLDEN_DAWN_BOOK_T_1912,HEBREW_LETTER,GIMEL,Liber LXXVIII — Trumps — HIGH_PRIESTESS,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
HIGH_PRIESTESS,GOLDEN_DAWN_BOOK_T_1912,TREE_PATH,13 KETHER-TIPHARETH,Liber LXXVIII — Trumps — HIGH_PRIESTESS,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
HIGH_PRIESTESS,GOLDEN_DAWN_BOOK_T_1912,PLANET,MOON,Liber LXXVIII — Trumps — HIGH_PRIESTESS,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
HIGH_PRIESTESS,GOLDEN_DAWN_BOOK_T_1912,ELEMENT,WATER,Liber LXXVIII — Trumps — HIGH_PRIESTESS,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
EMPRESS,GOLDEN_DAWN_BOOK_T_1912,GD_TITLE,The Daughter of the Mighty Ones,Liber LXXVIII — Trumps — EMPRESS,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
EMPRESS,GOLDEN_DAWN_BOOK_T_1912,HEBREW_LETTER,DALETH,Liber LXXVIII — Trumps — EMPRESS,,,10,APPROVED,PRIMARY_TABLE_NORMALIZATION_V1,Normalized from the 1912 Book T tables; RWS card order retained.,true
